Master_SKU,Master_Name,Product_Family,Status,Haha_AI_Name,Nayax_Name,Cantaloupe_Name
SKU0001,100 Grand Ice Cream,100 Grand Ice Cream,Mapped,100 Grand Ice Cream 2 fl oz,,
SKU0003,A&W Root Beer 12oz,A&W Root Beer 12oz,Mapped,A&W Root Beer,A&W Root Beer,A&W Root Beer 12oz
SKU0004,A&W Root Beer Zero 12oz,A&W Root Beer Zero 12oz,Mapped,,,A&W Root Beer Zero 12oz
SKU0007,Airheads Xtremes Bites,Airheads Xtremes Bites,Mapped,Airheads Xtremes Bites,Airheads Xtreme Bites,Airheads Extreme Bites
SKU0008,Alani Breezeberry,Alani Variety,Mapped,Alani Breezeberry,,
SKU0009,Alani - Cherry,Alani Variety,Mapped,Alani Cherry,,
SKU0010,Alani - Cherry Slush,Alani Variety,Mapped,Alani Cherry Slush12oz,,
SKU0012,Alani - Orange Kiss,Alani Variety,Mapped,Alani Orange Kiss,,
SKU0013,Alani - Pink Slush,Alani Variety,Mapped,Alani Pink Slush,Alani Nu,
SKU0014,Alani - Blue slush,Alani Variety,Mapped,Alani blue slush,,
SKU0015,Alani - Pink,Alani Variety,Mapped,Alani pink,,
SKU0016,Amy’s Gluten-Free Burrito Cheddar Cheese,Amy’s Gluten-Free Burrito Cheddar Cheese,Mapped,Amy’s gluten-free burrito cheddar cheese,,
SKU0017,Andy Capp’s Hot Fries,Andy Capp’s Hot Fries,Mapped,Andy Capp’s Hot Fries,,
SKU0018,Arizona Fruit Punch,Arizona Variety,Mapped,Arizona fruit punch 20oz,,
SKU0019,Arizona Mango Madness,Arizona Variety,Mapped,Arizona mango 20oz,,
SKU0020,Arizona Sour Fruit Snack,Arizona Sour Fruit Snack,Mapped,Arizona sour fruit snacks Mixed Lemonade 5.oz,,
SKU0021,Arizona Watermelon,Arizona Variety,Mapped,Arizona watermelon 20oz,,
SKU0022,Bai - Strawberry Coconut,Bai Variety,Mapped,BAI. SHALA Coconut STRAWBERRY COCONUT  WATER,,
SKU0023,Bai - Coconut,Bai Variety,Mapped,,Bai Coconut,
SKU0024,Bai - Molokai Cocnut,Bai Variety,Mapped,Bai Molokai Cocnut,,
SKU0025,Baked Fritos Lays Variety,Baked Lay Variety,Mapped,,,Baked Fritos Lays Variety
SKU0026,Barebells - Cookies & Cream,Barebells Variety,Mapped,Barbell Cookies and Cream,,
SKU0027,Barebell - Caramel and Cashew,Barebells Variety,Mapped,Barebell Caramel and Cashew,,
SKU0028,Barebell - White Chocolate Almond,Barebells Variety,Mapped,Barebell white chocolate almond,,
SKU0029,Barebells,Barebells Variety,Mapped,,,Barebells
SKU0030,Barebells - Chocolate Dough,Barebells Variety,Mapped,Barebells Chocolate Dough,,
SKU0031,Barebells - Cookies & Caramel,Barebells Variety,Mapped,Barebells Cookies & Caramel,,
SKU0026,Barebells - Cookies & Cream,Barebells Variety,Mapped,Barebells Cookies & Cream Protein Bar,,
SKU0033,Barebells - Creamy Crisp,Barebells Variety,Mapped,Barebells Creamy Crisp Protein Bar,,
SKU0034,Barebells - Peanut Butter,Barebells Variety,Mapped,Barebells Protein Bar Peanut Butter,,
SKU0035,Barebells - Salty Peanut,Barebells Variety,Mapped,Barebells Salty Peanut,,
SKU0036,Beef & Queso Bowl,Beef & Queso Bowl,Mapped,Beef & Queso Bowl 9.5 oz,,
SKU0037,Ben and Jerry's -  Chunky Monkey,Ben and Jerry's -  Chunky Monkey,Mapped,Ben and Jerry Chunky Monkey,,
SKU0038,Ben and Jerry’s - New York Super Fudge Chunk,Ben and Jerry’s - New York Super Fudge Chunk,Mapped,Ben and Jerry’s New York super fudge chunk,,
SKU0039,Big Red 12oz,Big Red 12oz,Mapped,Big Red Can,Big Red,
SKU0040,Big Red Zero 12oz,Big Red Zero 12oz,Mapped,Big Red Zero Sugar 12 fl oz,Big Red Zero Sugar,Big Red Zero
SKU0044,Bloom Energy - Peach Mango,Bloom Variety,Mapped,Bloom Energy Peach Mango,Bloom,
SKU0045,Bloom Energy - Raspberry Lemon,Bloom Variety,Mapped,Bloom Energy Raspberry Lemon,,
SKU0046,Bloom Energy - Strawberry Watermelon,Bloom Variety,Mapped,Bloom Energy Strawberry Watermelon,,
SKU0048,Bloom Pop - Shirley Temple,Bloom Pop Variety,Mapped,Bloom Pop Prebiotic Soda Shirley Temple 12 oz,Bloom Pop - Shirley Temple,
SKU0049,Bloom Pop - Strawberry Cream,Bloom Pop Variety,Mapped,Bloom Probiotic Soda Strawberry Cream 12 oz,Bloom Pop - Strawberry Cream,
SKU0050,Bloom Pop - Raspberry Lemonade,Bloom Pop Variety,Mapped,Bloom Pop Prebiotic Soda Raspberry Lemonade 12 oz,Bloom Pop - Raspberry Lemonade,
SKU0053,Blue Bell - Cookie Two Step,Blue Bell - Cookie Two Step,Mapped,Blue Bell Cookie Two Step,,
SKU0054,Blue Bell - The Great Divide,Blue Bell - The Great Divide,Mapped,Blue Bell The great divide,,
SKU0055,Bodyarmor - Strawberry Banana 20oz,Bodyarmor Variety,Mapped,Bodyarmor strawberry banana 20oz,,
SKU0056,Bola Pizza Sausage & Pepperoni,Bola Pizza Sausage & Pepperoni,Mapped,Bola Pizza Sausage & Pepperoni 560g,,
SKU0057,Boom Chicka Pop Sweet & Salty,Boom Chicka Pop Sweet & Salty,Mapped,Boom Chicka Pop Sweet & Salty,,
SKU0058,Boom Chicka Pop White Cheddar,Boomchickapop White Cheddar Popcorn,Mapped,Boomchickapop White Cheddar Popcorn,,
SKU0059,Boulder Canyon Classic Sea Salt,Boulder Variety,Mapped,Boulder Canyon Classic Sea Salt,,
SKU0060,Built - Peanut Butter Cup,Built Variety,Mapped,Built - Peanut Butter Cup,,
SKU0061,Built Puff Brownie Batter 40g,Built Variety,Mapped,Built Puff Brownie Batter 40g,,
SKU0062,Built Puff S'mores Chunk,Built Variety,Mapped,Built Puff S'mores Chunk,,
SKU0063,C4,C4 Variety,Mapped,,C4,
SKU0064,C4 Watermelon Burst,C4 Variety,Mapped,C4 Watermelon Burst 12oz,,
SKU0065,C4 smart energy Peach Mango,C4 Variety,Mapped,C4 smart energy Peach Mango,,
SKU0066,Canada Dry Ginger Ale 12oz,Canada Dry Ginger Ale 12oz,Mapped,CANADA DRY GINGER ALE 355ml,Ginger Ale,Canada Dry Ginger Ale 12oz
SKU0067,Celcius - Mango Lemonade 12oz,Celsius Variety,Mapped,CELSIUS Sparkling MANGO LEMONADE 12 oz.,,
SKU0068,California Pizza Kitchen BBQ Chicken,California Pizza Kitchen BBQ Chicken,Mapped,California Pizza Kitchen BBQ Chicken 14.7 oz,,
SKU0070,Caulipower Uncured Pepperoni,Caulipower Uncured Pepperoni,Mapped,Caulipower Uncured Pepperoni 350g,,
SKU0071,Celcius - Watermelon 12oz,Celsius Variety,Mapped,Celcius Sparkling Watermelon 12oz,,
SKU0072,Celsius,Celsius Variety,Mapped,Celsius,Celsius Original,
SKU0073,Celsius - Tropical Vibe,Celsius Variety,Mapped,Celsius Energy Drink - Tropical Vibe,,
SKU0075,Celsius - Peach Vibe,Celsius Variety,Mapped,Celsius Peach Vibe,,
SKU0076,Celsius - Retro Vibe,Celsius Variety,Mapped,Celsius Retro Vibe,,
SKU0077,Celsius - Orange,Celsius Variety,Mapped,Celsius Sparkling Orange 12oz,,
SKU0078,Celsius - Watermelon,Celsius Variety,Mapped,Celsius Sparkling Watermelon,,
SKU0079,Celsius - Tropical Vibe,Celsius Variety,Mapped,Celsius tropical vibe 12oz,,
SKU0080,Cheez it Extra Toasty 3oz,Cheez it Extra Toasty 3oz,Mapped,Cheez it Extra Toasty 3oz,,
SKU0081,Cheez it Snack Mix,Cheez-it Variety,Mapped,Cheez it Snack Mix,,Cheez-Its
SKU0082,Cheez-It Snap’d (Double Cheese) 1oz,Cheez-it Variety,Mapped,Cheez-It Snap’d (Double Cheese) 1oz,,
SKU0084,Cheezit - White Cheddar & Snap'd,Cheez-it Variety,Mapped,,,Cheezit - White Cheddar & Snap'd
SKU0085,Chester's Flammin' Hot Fries,Fritos Lay Variety,Mapped,Chester's Flammin' Hot Fries,,
SKU0086,Chester's Fries Ranch,Chester's Fries Ranch,Mapped,Chester's Fries Ranch,,
SKU0087,Chester's Puffcorn Cheese Flavored (60.2g),Chester's Puffcorn Cheese Flavored (60.2g),Mapped,Chester's Puffcorn Cheese Flavored (60.2g),,
SKU0088,Chester’s Fries Chili Cheese,Fritos Lay Variety,Mapped,Chester’s Fries Chili Cheese,,
SKU0089,Chester’s Poppers Jalapeño Cheese Whirlz,Chester’s Poppers Jalapeño Cheese Whirlz,Mapped,Chester’s Poppers Jalapeño Cheese Whirlz,,
SKU0090,Chile Limon Variety,Fritos Lay Variety,Mapped,,,Chile Limon Variety
SKU0091,Chips Ahoy King Size,Chips Ahoy King Size,Mapped,Chips Ahoy king size,,
SKU0092,Chomps Beef Stick,Chomps Beef Stick,Mapped,Chomps Beef Stick 1.15oz,,
SKU0093,Chomps Jalapeño Beef Stick,Chomps Jalapeño Beef Stick,Mapped,Chomps Jalapeño Beef Stick,,
SKU0094,CleanEatz Kitchen Bowlz Cowboy Shepherds Pie 10 oz,CleanEatz Variety,Mapped,CleanEatz Kitchen Bowlz Cowboy Shepherds Pie 10 oz,,
SKU0095,CleanEatz Kitchen Bowlz Sweet-N-Sour Chicken 10 oz,CleanEatz Variety,Mapped,CleanEatz Kitchen Bowlz Sweet-N-Sour Chicken 10 oz,,
SKU0096,Coca Cola 12oz,Coca Cola 12oz,Mapped,,Coca Cola,
SKU0097,Coca Cola 16.9oz,Coca Cola 16.9oz,Mapped,Coca cola 16.9oz,,Coca Cola 16.9oz
SKU0100,Coke Zero 16.9oz,Coke Zero 16.9oz,Mapped,Coke Zero Sugar,Coca Cola Zero Sugar,Coke Zero 16.9oz
SKU0102,Blue Bell - Cookies & Cream,Blue Bell - Cookies & Cream,Mapped,Cookies n Cream Blue Bell,,
SKU0103,Core Hydration 20oz,Core Hydration 20oz,Mapped,,Core Hydration,
SKU0104,Trader Joe's Cuban Style Citrus GarlicBowl,Trader Joe's Cuban Style Citrus GarlicBowl,Mapped,Cuban Style Citrus GarlicBowl 11 oz,,
SKU0105,Cwench - Rainbow Swirl,Cwench Variety,Mapped,Cwench Rainbow Swirl,,
SKU0106,Cwench - Berry Crush,Cwench Variety,Mapped,Cwench Sports Hydration Berry Crush,,
SKU0107,Deja Blue 20oz,Deja Blue 20oz,Mapped,,Deja Blue,
SKU0109,Diet Coke 16.9oz,Diet Coke 16.9oz,Mapped,Diet Coke 16.9oz,Diet Coke,Diet Coke 16.9oz
SKU0110,Doritos Dinamita (Chile Limon)49.6g,Fritos Lay Variety,Mapped,Doritos Dinamita (Chile Limon)49.6g,,
SKU0111,Doritos Nacho Cheese 1.75 oz,Fritos Lay Variety,Mapped,Doritos Nacho Cheese 1.75 oz,,
SKU0112,Doritos Ranch 49.6g,Fritos Lay Variety,Mapped,Doritos Ranch 49.6g,,
SKU0113,Dr Pepper 16.9oz,Dr Pepper 16.9oz,Mapped,Dr Pepper 16.9oz,,Dr. Pepper 16.9oz
SKU0114,Dr. Pepper 12oz,Dr. Pepper 12oz,Mapped,,Dr. Pepper,
SKU0116,Honey Buns,Honey Buns,Mapped,Duchess Honey Buns,Honey Buns,
SKU0117,Factor Charcuterie Pack 3oz,Factor Charcuterie Pack 3oz,Mapped,Factor Charcuterie Pack 3oz,,
SKU0118,Factor - Cold Brew Latte 12oz,Factor Protein Shake ,Mapped,Factor Cold Brew Latte Protein Shake 12oz,,
SKU0119,Factor Bar - Chocolate,Factor Protein Bar - Chocolate,Mapped,Factor Protein Bar,,
SKU0120,Factor - Chocolate Banana 12oz,Factor Protein Shake ,Mapped,Factor Protein Shake Chocolate Banana 12oz,,
SKU0121,Fairlife ,Fairlife ,Mapped,Fairlife Chocolate 30g 340ml,Fairlife Protein,
SKU0123,Famous Amos,Famous Amos,Mapped,Famous Amos 56g,Famous Amos,Famous Amos
SKU0125,Flamin Hot Cheetos Limon,Fritos Lay Variety,Mapped,Flamin Hot Cheetos Limon,,
SKU0126,Flaming doritos,Fritos Lay Variety,Mapped,Flaming doritos,,
SKU0127,Flock,Flock,Mapped,Flock Chicken Skinceisps Hot Nashville Seasoned 1oz,Flock,
SKU0129,Frito Lay Mix,Fritos Lay Variety,Mapped,,Frito Lay Mix,
SKU0130,Powerade - Fruit Punch,Powerade Variety,Mapped,Fruit Punch Powerade 28 FL OZ,,
SKU0131,Garden Veggie Straws,Veggie Straws Variety,Mapped,Garden Veggie Straws,Veggie Straws,
SKU0132,Gatorade Frost - Glacier Freeze,Gatorade Frost - Glacier Freeze,Mapped,Gatorade Frost Glacier Freeze 20oz,Gatorade Blue,
SKU0133,Gatorade Frost - Glacier Cherry,Gatorade Frost - Glacier Cherry,Mapped,Gatorade Frost Glacier Cherry,Gatorade White,
SKU0136,Gatorade Frost - Riptide Rush 20oz,Gatorade Frost - Riptide Rush 20oz,Mapped,Gatorade Riptide Rush 20oz,Gatorade Purple,
SKU0138,Gatorade - Fruit Punch,Gatorade - Fruit Punch,Mapped,Gatorade fruit punch,,
SKU0139,Ghost Energy - Original 16oz,Ghost Energy Variety,Mapped,,Ghost Energy Original 16oz,
SKU0140,Ghost Energy - Strawbango 16oz,Ghost Energy Variety,Mapped,,Ghost Energy Strawbango 16oz,
SKU0141,Ghost Hydration Kiwi Strawberry,Ghost Hydration Variety,Mapped,,Ghost Hydration Kiwi Strawberry,
SKU0143,Gold Peak Sweet Tea,Gold Peak Sweet Tea,Mapped,Gold Peak Tea,Gold Peak Sweet Tea,
SKU0145,Gold Peak Unsweetened Tea,Gold Peak Unsweetened Tea,Mapped,Gold Peak Unsweetened Tea,,
SKU0146,Haagen-Dazs Bars,Haagen-Dazs Bars,Mapped,Haagen Dazs bars,,
SKU0147,Haagen-Dazs New York Strawberry Cheesecake,Haagen-Dazs New York Strawberry Cheesecake,Mapped,Haagen-Dazs New York Strawberry Cheesecake 14 fl oz,,
SKU0148,Halo Top - Chocolate Caramel Brownie,Halo Top - Chocolate Caramel Brownie,Mapped,Halo Top Chocolate Caramel Brownie,,
SKU0149,Halo Top - Sea Salt Caramel,Halo Top - Sea Salt Caramel,Mapped,Halo Top Sea Salt Caramel,,
SKU0150,Haribo Sour Gummies,Haribo Sour Gummies,Mapped,Haribo Sour gummies,,
SKU0151,Harvest Snaps Tomato Basil 1.75 oz,Harvest Snaps Tomato Basil 1.75 oz,Mapped,Harvest Snaps Tomato Basil 1.75 oz,,
SKU0153,Hershey's Cookies 'n Creme,Hershey's Cookies 'n Creme,Mapped,Hershey’s (Cookies N Creme) 1oz,Hershey's Cookies 'n Creme,Hersey's Cookies & Creme
SKU0155,Hillshire - Genoa Salame,Hillshire - Genoa Salame,Mapped,Hillshire Snacking Genoa Salame,,
SKU0157,Factor Bar - Honey Nut Crunch,Factor Bar - Honey Nut Crunch,Mapped,Honey Nut Crunch,,
SKU0158,Hostess Danish,Hostess Danish,Mapped,Hostess Danish,,
SKU0159,Hot Pocket Pepperoni Pizza 4.5,Hot Pocket Pepperoni Pizza 4.5,Mapped,Hot Pockey Pepperoni Pizza 4.5,,
SKU0160,Hot cheetos,Fritos Lay Variety,Mapped,Hot cheetos,,
SKU0161,Hot Pocket Pepperoni Pizza 4.5,Hot Pocket Pepperoni Pizza 4.5,Mapped,Hot pocket pepporoni pizza,,
SKU0162,Haagen-Dazs Dulce De Leche,Haagen-Dazs Dulce De Leche,Mapped,Häagen-Dazs dulce de leche 14 fl oz,,
SKU0163,Jocko Molk Protein Shake,Jocko Molk Protein Shake,Mapped,JOCKO MOLK Protein Shake,,
SKU0164,Jack Link's Cold Crafted Linkeich Salami & Colby Jack 1.5 oz,Jack Link's Cold Crafted Linkeich Salami & Colby Jack 1.5 oz,Mapped,Jack Link's Cold Crafted Linkeich Salami & Colby Jack 1.5 oz,,
SKU0165,Kars Trail Mix,Kars Trail Mix,Mapped,Kars Trail Mix,,Kars Snack Pack
SKU0167,Keebler Fudge Stripes Mini,Keebler Fudge Stripes Mini,Mapped,Keebler Fudge Stripes Minis 2oz,Keebler Fudge Stripes Mini,Keebler
SKU0170,Kevin's Korean BBQ Style Chicken 9.5 oz,Kevin's Korean BBQ Style Chicken 9.5 oz,Mapped,Kevin's Korean BBQ Style Chicken 9.5 oz,,
SKU0172,Kind Bar - Caramel Almond & Sea Salt,Kind Bar Variety,Mapped,Kind Bar Caramel Almond & Sea Salt,,Kind Bar
SKU0173,Kind Bar -  Dark Chocolate Nuts & Sea Salt,Kind Bar Variety,Mapped,Kind Dark Chocolate Nuts & Sea Salt,,
SKU0174,KitKat,KitKat,Mapped,KitKat - 1.5oz,,
SKU0175,La Colombe - Caramel,La Colombe - Caramel,Mapped,La Colombe Draft Late Caramel 11oz,La Colombe Caramel,
SKU0176,La Colombe - Cold Brew Black,La Colombe - Cold Brew Black,Mapped,La Colombe Cold Brew Black,,
SKU0177,La Colombe - Mocha,La Colombe - Mocha,Mapped,La Colombe Cold Brew Draft Latte - Mocha,,
SKU0178,La Colombe - Vanilla,La Colombe - Vanilla,Mapped,La Colombe Cold Brew Draft Latte - Vanilla,,
SKU0180,La Colombe - Vanilla,La Colombe - Vanilla,Mapped,La Colombe Draft Latte Vanilla Cold Brew With Oatmilk,,La Colombe Vanilla
SKU0181,La Colombe - Triple ,La Colombe - Triple ,Mapped,La Colombe Triple Draft Latte 11oz,,
SKU0184,Lance's Cracker,Lance's Cracker,Mapped,Lance Toast Chee 1.52oz,Lance's Cracker,
SKU0185,Lara Bar - Blueberry Muffin,Lara Variety,Mapped,Lara Bar Blueberry Muffin 1.6oz,,
SKU0186,Lay's STAX Sour Cream & Onion,Lay's STAX Sour Cream & Onion,Mapped,Lay's STAX Sour Cream & Onion,,
SKU0187,Lays (Chile Limon),Fritos Lay Variety,Mapped,Lays (Chile Limon),,
SKU0188,Lays Baked Chips Original,Baked Lay Variety,Mapped,Lays Baked Chips Original,,
SKU0190,Legendary Pastry - Blueberry,Legendary Variety,Mapped,Legendary Foods Protein Pastry Blueberry 2.2oz,Legendary,Legendary
SKU0191,Legendary Pastry - Brown Sugar Cinnamon,Legendary Variety,Mapped,Legendary Foods Protein Pastry Brown Sugar Cinnamon 2.2oz,,
SKU0192,Legendary Pastry - Chocolate Cake,Legendary Variety,Mapped,Legendary Foods Protein Pastry Chocolate Cake 2.2oz,,
SKU0193,Legendary Pastry - Strawberry,Legendary Variety,Mapped,Legendary Foods Protein Pastry Strawberry 2.2oz,,
SKU0194,Legendary Pastry - Hot Fudge Sundae,Legendary Variety,Mapped,Legendary Foods Protein Pastry hot fudge sundae,,
SKU0195,Legendary Pastry - Campfire S'Mores,Legendary Variety,Mapped,Legendary Protein Pastry Campfire S'Mores 2.2oz,,
SKU0196,Legendary Pastry - Cherry Crumble,Legendary Variety,Mapped,Legendary protein pastry cherry crumble,,
SKU0197,Lenny & Larry’s - Peanut Butter Chocolate Chip,Lenny & Larry's Variety,Mapped,Lenny & Larry’s The Complete Cookie Peanut Butter Chocolate Chip,,
SKU0198,Lenny & Larry’s - Chocolate Chip,Lenny & Larry's Variety,Mapped,Lenny&Larry’s Chocolatechip,,
SKU0199,Liquid IV Lemon Lime .56oz,Liquid IV,Mapped,Liquid IV Lemon Lime .56oz,,
SKU0200,Liquid IV Passiom Fruit .56oz,Liquid IV,Mapped,Liquid IV Passiom Fruit .56oz,,
SKU0201,Lorna Doodle,Lorna Doodle,Mapped,Lorna Doodle,,
